Removed Pin From Net: NetName=GND Pin=C3-1
Removed Pin From Net: NetName=GND Pin=C14-1
Removed Pin From Net: NetName=GND Pin=C18-1
Removed Member From Class: ClassName=Processing_Rev3 Member=C14
Removed Member From Class: ClassName=Processing_Rev3 Member=C18
Change Component Footprint: Designator=C3 Old Footprint=CAP 0805_2012 New Footprint=FP-GRM21B-0_1-IPC_B
Change Component Comment : Designator=C3 Old Comment=0.1µF New Comment=GRM21B7U1A104JA01L
Change Managed Component Library Link : Designator=C3 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=2C60E751-D5A0-49D0-9984-AD63390B88EC Old RevisionGUID= New RevisionGUID=603BBC75-0F7A-424B-954C-9A18DD8CFAE9
Change component parameters: Designator = "C3" ("C3"); Footprint = "CAP 0805_2012"; UniqueID = "\RFXCJLPR" ("\RFXCJLPR")
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "ERJ-6ENF1003V"; VariantName = "[No Variations]"
Added Component: Designator=R7(RESC2013X70X40LL20T20)
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "ERJ-6GEYJ471V"; VariantName = "[No Variations]"
Added Component: Designator=SW0(FP-25536NA6-0)
Add component (AddParameter): Name = "Actuator Length"; Value = "6mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Actuator Material"; Value = "Nylon"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Actuator Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Current Rating"; Value = "4A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Material"; Value = "Silver"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Silver"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Resistance"; Value = "10mR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "1A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Electrical Life"; Value = "10000Cycles"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Illumination Type"; Value = "Non-Illuminated"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Voltage Rating (AC)"; Value = "250V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Voltage Rating (DC)"; Value = "30V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mechanical Life"; Value = "20000Cycles"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Orientation"; Value = "Right Angle"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "100"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "25000N"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Switch Function"; Value = "On-On"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Switch Travel"; Value = "4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "PC Pin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Throw Configuration"; Value = "SPDT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (AC)"; Value = "125V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "30V"; VariantName = "[No Variations]"
Added Component: Designator=U0(FP-C04-091-OT-MFG)
Add component (AddParameter): Name = "Case/Package"; Value = "SOT-23"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1.3mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "3.1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Charge Current"; Value = "500mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Input Voltage"; Value = "6V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Output Current"; Value = "500mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Output Voltage"; Value = "4.5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "1.54W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Supply Voltage"; Value = "6V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Output Voltage"; Value = "4.168V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Supply Voltage"; Value = "3.75V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Cells"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Outputs"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Output Current"; Value = "10mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Output Voltage"; Value = "4.2V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "3000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Dissipation"; Value = "1.54W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "1.8mm"; VariantName = "[No Variations]"
Added Component: Designator=U1(SSOP-28_ISI)
Add component (AddParameter): Name = "Built_By"; Value = "EMA_Cory"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Copyright"; Value = "Copyright (C) 2018 Accelerated Designs. All rights reserved"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet"; Value = "http://www.issi.com/WW/pdf/31FL3731.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "IS31FL3731-SALS2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RefDes"; Value = "RefDes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SourceLibrary"; Value = "ISSI_2020-02-04"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "DEV"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vendor"; Value = "ISSI"; VariantName = "[No Variations]"
Added Component: Designator=U2(ADA-RGB-1655_V)
Add component (AddParameter): Name = "Category"; Value = "Optoelectronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Color"; Value = "Red,Green,Blue(RGB)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Configuration"; Value = "Discrete"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Controller Type"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://datasheet.octopart.com/ADA1655-Adafruit-Industries-datasheet-32028139.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "May-13"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Family"; Value = "Addressable,Specialty"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Interface"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Adafruit-Industries-LLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "https://www.adafruit.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of LEDs"; Value = "10"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "4-Pin Surface Mount Device, Body 5 x 5 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "1655"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "Neopixel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "5.00mmLx5.00mmW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Utilized LED"; Value = "WS2812(5050)"; VariantName = "[No Variations]"
Added Component: Designator=U3(ADA-RGB-1655_V)
Add component (AddParameter): Name = "Category"; Value = "Optoelectronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Color"; Value = "Red,Green,Blue(RGB)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Configuration"; Value = "Discrete"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Controller Type"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://datasheet.octopart.com/ADA1655-Adafruit-Industries-datasheet-32028139.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "May-13"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Family"; Value = "Addressable,Specialty"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Interface"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Adafruit-Industries-LLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "https://www.adafruit.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of LEDs"; Value = "10"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "4-Pin Surface Mount Device, Body 5 x 5 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "1655"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "Neopixel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "5.00mmLx5.00mmW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Utilized LED"; Value = "WS2812(5050)"; VariantName = "[No Variations]"
Added Component: Designator=U4(ADA-RGB-1655_V)
Add component (AddParameter): Name = "Category"; Value = "Optoelectronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Color"; Value = "Red,Green,Blue(RGB)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Configuration"; Value = "Discrete"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Controller Type"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://datasheet.octopart.com/ADA1655-Adafruit-Industries-datasheet-32028139.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "May-13"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Family"; Value = "Addressable,Specialty"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Interface"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Adafruit-Industries-LLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "https://www.adafruit.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of LEDs"; Value = "10"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "4-Pin Surface Mount Device, Body 5 x 5 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "1655"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "Neopixel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "5.00mmLx5.00mmW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Utilized LED"; Value = "WS2812(5050)"; VariantName = "[No Variations]"
Added Component: Designator=U5(ADA-RGB-1655_V)
Add component (AddParameter): Name = "Category"; Value = "Optoelectronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Color"; Value = "Red,Green,Blue(RGB)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Configuration"; Value = "Discrete"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Controller Type"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://datasheet.octopart.com/ADA1655-Adafruit-Industries-datasheet-32028139.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "May-13"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Family"; Value = "Addressable,Specialty"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Interface"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Adafruit-Industries-LLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "https://www.adafruit.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of LEDs"; Value = "10"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "4-Pin Surface Mount Device, Body 5 x 5 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "1655"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "Neopixel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "5.00mmLx5.00mmW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Utilized LED"; Value = "WS2812(5050)"; VariantName = "[No Variations]"
Added Component: Designator=U6(ADA-RGB-1655_V)
Add component (AddParameter): Name = "Category"; Value = "Optoelectronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Color"; Value = "Red,Green,Blue(RGB)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Configuration"; Value = "Discrete"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Controller Type"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://datasheet.octopart.com/ADA1655-Adafruit-Industries-datasheet-32028139.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "May-13"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Family"; Value = "Addressable,Specialty"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Interface"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Adafruit-Industries-LLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "https://www.adafruit.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of LEDs"; Value = "10"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "4-Pin Surface Mount Device, Body 5 x 5 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "1655"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "Neopixel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "5.00mmLx5.00mmW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Utilized LED"; Value = "WS2812(5050)"; VariantName = "[No Variations]"
Added Component: Designator=U7(ADA-RGB-1655_V)
Add component (AddParameter): Name = "Category"; Value = "Optoelectronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Color"; Value = "Red,Green,Blue(RGB)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Configuration"; Value = "Discrete"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Controller Type"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://datasheet.octopart.com/ADA1655-Adafruit-Industries-datasheet-32028139.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "May-13"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Family"; Value = "Addressable,Specialty"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Interface"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Adafruit-Industries-LLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "https://www.adafruit.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of LEDs"; Value = "10"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "4-Pin Surface Mount Device, Body 5 x 5 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "1655"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "Neopixel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "5.00mmLx5.00mmW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Utilized LED"; Value = "WS2812(5050)"; VariantName = "[No Variations]"
Added Component: Designator=U8(ADA-RGB-1655_V)
Add component (AddParameter): Name = "Category"; Value = "Optoelectronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Color"; Value = "Red,Green,Blue(RGB)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Configuration"; Value = "Discrete"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Controller Type"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://datasheet.octopart.com/ADA1655-Adafruit-Industries-datasheet-32028139.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "May-13"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Family"; Value = "Addressable,Specialty"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Interface"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Adafruit-Industries-LLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "https://www.adafruit.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of LEDs"; Value = "10"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "4-Pin Surface Mount Device, Body 5 x 5 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "1655"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "Neopixel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "5.00mmLx5.00mmW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Utilized LED"; Value = "WS2812(5050)"; VariantName = "[No Variations]"
Added Component: Designator=U9(ADA-RGB-1655_V)
Add component (AddParameter): Name = "Category"; Value = "Optoelectronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Color"; Value = "Red,Green,Blue(RGB)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Configuration"; Value = "Discrete"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Controller Type"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://datasheet.octopart.com/ADA1655-Adafruit-Industries-datasheet-32028139.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "May-13"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Family"; Value = "Addressable,Specialty"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Interface"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Adafruit-Industries-LLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "https://www.adafruit.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of LEDs"; Value = "10"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "4-Pin Surface Mount Device, Body 5 x 5 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "1655"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "Neopixel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "5.00mmLx5.00mmW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Utilized LED"; Value = "WS2812(5050)"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=C0-2
Added Pin To Net: NetName=GND Pin=C1-2
Added Pin To Net: NetName=GND Pin=C2-2
Added Pin To Net: NetName=GND Pin=C3-2
Added Pin To Net: NetName=GND Pin=C4-2
Added Pin To Net: NetName=GND Pin=C5-2
Added Pin To Net: NetName=NetC7_2 Pin=C7-2
Added Pin To Net: NetName=NetC11_2 Pin=C11-2
Added Pin To Net: NetName=NetC12_2 Pin=C12-2
Added Pin To Net: NetName=PD2 Pin=J0-1
Added Pin To Net: NetName=PD3 Pin=J0-2
Added Pin To Net: NetName=PD5 Pin=J0-3
Added Pin To Net: NetName=PD6 Pin=J0-4
Added Pin To Net: NetName=PD7 Pin=J0-5
Added Pin To Net: NetName=PE0 Pin=J0-6
Added Pin To Net: NetName=PE1 Pin=J0-7
Added Pin To Net: NetName=PC0 Pin=J0-8
Added Pin To Net: NetName=PF7 Pin=J0-9
Added Pin To Net: NetName=PA3 Pin=J0-10
Added Pin To Net: NetName=PA4 Pin=J0-11
Added Pin To Net: NetName=PA5 Pin=J0-12
Added Pin To Net: NetName=PA6 Pin=J0-13
Added Pin To Net: NetName=INTB Pin=J0-16
Added Pin To Net: NetName=GND Pin=J0-19
Added Pin To Net: NetName=GND Pin=J1-2
Added Pin To Net: NetName=PF6 Pin=J1-4
Added Pin To Net: NetName=PF5 Pin=J1-5
Added Pin To Net: NetName=PF4 Pin=J1-6
Added Pin To Net: NetName=PF3 Pin=J1-7
Added Pin To Net: NetName=PF2 Pin=J1-12
Added Pin To Net: NetName=PF1 Pin=J1-13
Added Pin To Net: NetName=PF0 Pin=J1-14
Added Pin To Net: NetName=VBAT Pin=J1-20
Added Pin To Net: NetName=GND Pin=P1-2
Added Pin To Net: NetName=GND Pin=R1-1
Added Pin To Net: NetName=INTB Pin=R2-1
Added Pin To Net: NetName=GND Pin=R6-1
Added Pin To Net: NetName=VBAT Pin=SW0-1
Added Pin To Net: NetName=GND Pin=U0-2
Added Pin To Net: NetName=CA9 Pin=U1-1
Added Pin To Net: NetName=INTB Pin=U1-4
Added Pin To Net: NetName=GND Pin=U1-5
Added Pin To Net: NetName=CB1 Pin=U1-7
Added Pin To Net: NetName=CB2 Pin=U1-8
Added Pin To Net: NetName=CB3 Pin=U1-9
Added Pin To Net: NetName=CB4 Pin=U1-10
Added Pin To Net: NetName=CB5 Pin=U1-11
Added Pin To Net: NetName=CB6 Pin=U1-12
Added Pin To Net: NetName=CB7 Pin=U1-13
Added Pin To Net: NetName=CB8 Pin=U1-14
Added Pin To Net: NetName=CB9 Pin=U1-15
Added Pin To Net: NetName=GND Pin=U1-18
Added Pin To Net: NetName=CA1 Pin=U1-21
Added Pin To Net: NetName=CA2 Pin=U1-22
Added Pin To Net: NetName=CA3 Pin=U1-23
Added Pin To Net: NetName=CA4 Pin=U1-24
Added Pin To Net: NetName=CA5 Pin=U1-25
Added Pin To Net: NetName=CA6 Pin=U1-26
Added Pin To Net: NetName=CA7 Pin=U1-27
Added Pin To Net: NetName=CA8 Pin=U1-28
Added Pin To Net: NetName=NetC7_2 Pin=U3-3
Added Pin To Net: NetName=NetC11_2 Pin=U7-3
Added Pin To Net: NetName=NetC12_2 Pin=U8-3
Change Net Name : Old Net Name=PA3 New Net Name=ROW1
Change Net Name : Old Net Name=PA4 New Net Name=ROW2
Change Net Name : Old Net Name=PA5 New Net Name=ROW3
Change Net Name : Old Net Name=PA6 New Net Name=ROW4
Change Net Name : Old Net Name=PC0 New Net Name=COL7
Change Net Name : Old Net Name=PD2 New Net Name=COL0
Change Net Name : Old Net Name=PD3 New Net Name=COL1
Change Net Name : Old Net Name=PD5 New Net Name=COL2
Change Net Name : Old Net Name=PD6 New Net Name=COL3
Change Net Name : Old Net Name=PD7 New Net Name=COL4
Change Net Name : Old Net Name=PE0 New Net Name=COL5
Change Net Name : Old Net Name=PE1 New Net Name=COL6
Change Net Name : Old Net Name=PF0 New Net Name=COL14
Change Net Name : Old Net Name=PF1 New Net Name=COL13
Change Net Name : Old Net Name=PF2 New Net Name=COL12
Change Net Name : Old Net Name=PF3 New Net Name=COL11
Change Net Name : Old Net Name=PF4 New Net Name=COL10
Change Net Name : Old Net Name=PF5 New Net Name=COL9
Change Net Name : Old Net Name=PF6 New Net Name=COL8
Change Net Name : Old Net Name=PF7 New Net Name=ROW0
Added Pin To Net: NetName=+5 Pin=C0-1
Added Pin To Net: NetName=+5 Pin=DS0-2
Added Pin To Net: NetName=+5 Pin=J0-18
Added Pin To Net: NetName=+5 Pin=J1-1
Added Pin To Net: NetName=+5 Pin=U0-4
Added Net: Name=+5
Added Pin To Net: NetName=3V3 Pin=C6-1
Added Pin To Net: NetName=3V3 Pin=C7-1
Added Pin To Net: NetName=3V3 Pin=C8-1
Added Pin To Net: NetName=3V3 Pin=C9-1
Added Pin To Net: NetName=3V3 Pin=C10-1
Added Pin To Net: NetName=3V3 Pin=C11-1
Added Pin To Net: NetName=3V3 Pin=C12-1
Added Pin To Net: NetName=3V3 Pin=C13-1
Added Pin To Net: NetName=3V3 Pin=J0-20
Added Pin To Net: NetName=3V3 Pin=J1-3
Added Pin To Net: NetName=3V3 Pin=R2-2
Added Pin To Net: NetName=3V3 Pin=R3-2
Added Pin To Net: NetName=3V3 Pin=R4-2
Added Pin To Net: NetName=3V3 Pin=R5-1
Added Pin To Net: NetName=3V3 Pin=U2-1
Added Pin To Net: NetName=3V3 Pin=U3-1
Added Pin To Net: NetName=3V3 Pin=U4-1
Added Pin To Net: NetName=3V3 Pin=U5-1
Added Pin To Net: NetName=3V3 Pin=U6-1
Added Pin To Net: NetName=3V3 Pin=U7-1
Added Pin To Net: NetName=3V3 Pin=U8-1
Added Pin To Net: NetName=3V3 Pin=U9-1
Added Net: Name=3V3
Added Pin To Net: NetName=A0 Pin=J1-15
Added Net: Name=A0
Added Pin To Net: NetName=C13 Pin=J1-19
Added Net: Name=C13
Added Pin To Net: NetName=C14 Pin=J1-18
Added Net: Name=C14
Added Pin To Net: NetName=C15 Pin=J1-17
Added Net: Name=C15
Added Pin To Net: NetName=MISO1 Pin=J1-9
Added Pin To Net: NetName=MISO1 Pin=P0-3
Added Net: Name=MISO1
Added Pin To Net: NetName=MOSI1 Pin=J1-8
Added Pin To Net: NetName=MOSI1 Pin=P0-4
Added Net: Name=MOSI1
